`1, 1, 97.753µs, 13
1, 2, 95.501µs, 12
1, 3, 92.793µs, 12
1, 4, 90.078µs, 11
1, 5, 88.094µs, 12
1, 6, 84.886µs, 12
1, 7, 86.243µs, 11
1, 8, 84.995µs, 12
2, 1, 84.308µs, 15
2, 2, 83.647µs, 17
2, 3, 80.709µs, 18
2, 4, 77.57µs, 17
2, 5, 79.967µs, 17
2, 6, 77.376µs, 17
2, 7, 75.685µs, 17
2, 8, 76.11µs, 17
3, 1, 74.767µs, 19
3, 2, 73.523µs, 26
3, 3, 73.259µs, 29
3, 4, 73.739µs, 28
3, 5, 74.665µs, 29
3, 6, 74.376µs, 28
3, 7, 72.663µs, 29
3, 8, 74.14µs, 29
4, 1, 73.84µs, 31
4, 2, 74.675µs, 43
4, 3, 73.783µs, 51
4, 4, 74.554µs, 56
4, 5, 73.783µs, 58
4, 6, 72.952µs, 59
4, 7, 74.202µs, 59
4, 8, 75.177µs, 60
5, 1, 131.204µs, 62
5, 2, 132.3µs, 86
5, 3, 138.408µs, 109
5, 4, 144.554µs, 126
5, 5, 148.138µs, 142
5, 6, 151.803µs, 156
5, 7, 148.65µs, 157
5, 8, 152.057µs, 157
6, 1, 310.941µs, 168
6, 2, 287.444µs, 217
6, 3, 268.939µs, 246
6, 4, 261.943µs, 289
6, 5, 256.979µs, 321
6, 6, 259.496µs, 355
6, 7, 248.361µs, 383
6, 8, 234.27µs, 396
7, 1, 1.006574ms, 531
7, 2, 814.46µs, 658
7, 3, 655.919µs, 714
7, 4, 625.019µs, 819
7, 5, 563.148µs, 894
7, 6, 514.76µs, 984
7, 7, 475.072µs, 1048
7, 8, 451.664µs, 1092
8, 1, 4.274395ms, 1986
8, 2, 2.974899ms, 2291
8, 3, 2.398081ms, 2525
8, 4, 2.046247ms, 2804
8, 5, 1.854777ms, 3096
8, 6, 1.633602ms, 3297
8, 7, 1.464593ms, 3489
8, 8, 1.367104ms, 3608
9, 1, 24.648597ms, 8065
9, 2, 12.764061ms, 9104
9, 3, 9.193258ms, 9861
9, 4, 7.936697ms, 10975
9, 5, 6.886629ms, 11885
9, 6, 6.004107ms, 12499
9, 7, 5.431983ms, 13303
9, 8, 5.018921ms, 13786
10, 1, 100.43768ms, 34853
10, 2, 59.459037ms, 38762
10, 3, 43.260039ms, 41919
10, 4, 36.332766ms, 45474
10, 5, 31.644175ms, 49152
10, 6, 27.544027ms, 51464
10, 7, 24.762113ms, 53735
10, 8, 22.851367ms, 55413
11, 1, 478.346034ms, 164321
11, 2, 291.112765ms, 182030
11, 3, 204.158009ms, 191878
11, 4, 173.67835ms, 207941
11, 5, 151.07765ms, 223552
11, 6, 132.124973ms, 233443
11, 7, 119.249392ms, 243708
11, 8, 109.988914ms, 250405
12, 1, 2.754790805s, 842409
12, 2, 1.595484331s, 913660
12, 3, 1.141064712s, 975535
12, 4, 955.877288ms, 1041931
12, 5, 824.667269ms, 1101564
12, 6, 727.17214ms, 1157337
12, 7, 658.361119ms, 1202046
12, 8, 611.702596ms, 12413891
13, 1, 15.693548804s, 4602944
13, 2, 8.995142458s, 4971970
13, 3, 6.385115989s, 5269324
13, 4, 5.340870408s, 5595718
13, 5, 4.618225465s, 5898360
13, 6, 4.078673236s, 6173339
13, 7, 3.688601196s, 6374454
13, 8, 3.429157659s, 6574777
14, 1, 1m40.471619547s, 27006112
14, 2, 56.033450057s, 28827162
14, 3, 39.852565155s, 30374654
14, 4, 33.613692979s, 32351672
14, 5, 29.072378805s, 33931816
14, 6, 25.740942877s, 35487338
14, 7, 23.342291829s, 36522323
14, 8, 21.740712024s, 37545358
15, 1, 10m52.413298513s, 168919148
15, 2, 5m59.393896323s, 179303271
15, 3, 4m17.803043394s, 189516332
15, 4, 3m35.340724396s, 199520814
15, 5, 3m7.121518244s, 209514463
15, 6, 2m45.471322038s, 217867713
15, 7, 2m30.155103666s, 223703983
15, 8, 2m19.937767609s, 229658340
